_id,season,user,score,rank,SeasonNumber,returning,previousScore,cumScore,maxScore,scoreChange,monthsPlayed,retentionRate,monthsAFK
60650d13df54262f1112a260,2021-04,583470db562492df04a5f123,134612735,85,75,False,134612735,134612735,134612735,0.0,1,False,0
60650d17df54262f111373fa,2021-04,5a7751884418342963eb7053,134252355,86,75,False,134252355,134252355,134252355,0.0,1,False,0
60650d0fdf54262f1111f215,2021-04,58e94db39f9ea168315df842,132266236,87,75,False,132266236,132266236,132266236,0.0,1,False,0
60650d0fdf54262f1111f17c,2021-04,5ce322db6e6d821ae0593356,132037037,88,75,False,132037037,132037037,132037037,0.0,1,False,0
60650d0fdf54262f1111f1b3,2021-04,5872d60ff40a21661a16101e,131684674,89,75,False,131684674,131684674,131684674,0.0,1,False,0
60650d13df54262f1112a257,2021-04,55c519884e53bdcf4dcdb8c4,130512541,90,75,False,130512541,130512541,130512541,0.0,1,False,0
60650d0fdf54262f1111f24e,2021-04,576b572e366187105908ad57,129532272,91,75,False,129532272,129532272,129532272,0.0,1,False,0
60650d13df54262f1112a281,2021-04,57e6eea6adafdf710cc771ea,128762835,92,75,False,128762835,128762835,128762835,0.0,1,False,0
60650d17df54262f111374e8,2021-04,5e8b8a138d8d8416ad57f9f3,126646092,93,75,False,126646092,126646092,126646092,0.0,1,False,0
60650d0fdf54262f1111f23e,2021-04,5c9108af9979ab091ec351b3,120837691,94,75,False,120837691,120837691,120837691,0.0,1,False,0
60650d13df54262f1112a245,2021-04,589f6131d25357e8253e52be,120778995,95,75,False,120778995,120778995,120778995,0.0,1,False,0
60650d17df54262f11137461,2021-04,5e9d46b48913661e62dadb3e,120379068,96,75,False,120379068,120379068,120379068,0.0,1,False,0
60650d1cdf54262f11145d0b,2021-04,5ec944cb44ee670172a26d9f,117804795,97,75,False,117804795,117804795,117804795,0.0,1,False,0
60650d13df54262f1112a23b,2021-04,57e6b19badafdf710cc721d7,114692918,98,75,False,114692918,114692918,114692918,0.0,1,False,0
60650d17df54262f111373dd,2021-04,5569aa587401fd4155440afa,113445166,99,75,False,113445166,113445166,113445166,0.0,1,False,0
60650d13df54262f1112a271,2021-04,54c061dd33bcf50a41065f10,113221054,100,75,False,113221054,113221054,113221054,0.0,1,False,0
60650d1cdf54262f11145f96,2021-04,58309c8a2873dc77620875d5,113059835,101,75,False,113059835,113059835,113059835,0.0,1,False,0
60650d0fdf54262f1111f20b,2021-04,58e189f99f9ea1683155a070,112276185,102,75,False,112276185,112276185,112276185,0.0,1,False,0
60650d17df54262f11137434,2021-04,5c9e13f0363a314f3abec8e9,111500266,103,75,False,111500266,111500266,111500266,0.0,1,False,0
60650d1cdf54262f11146033,2021-04,5dd337f54297b4c0aa0bb485,110460981,104,75,False,110460981,110460981,110460981,0.0,1,False,0
60650d1cdf54262f11146052,2021-04,5ce4c81712ad3c7693fe0a98,110310389,105,75,False,110310389,110310389,110310389,0.0,1,False,0
60650d17df54262f111373e3,2021-04,59a23e679191fd5b5533278a,109293676,106,75,False,109293676,109293676,109293676,0.0,1,False,0
60650d13df54262f1112a23a,2021-04,58a26f3dd25357e825423cbe,108946911,107,75,False,108946911,108946911,108946911,0.0,1,False,0
60650d17df54262f1113742e,2021-04,5b78e3c7f79358042e76ff2a,108354901,108,75,False,108354901,108354901,108354901,0.0,1,False,0
60650d13df54262f1112a2aa,2021-04,576db75fbe1cccb44b18c882,107858384,109,75,False,107858384,107858384,107858384,0.0,1,False,0
60650d17df54262f111373ce,2021-04,598632e98c023420157b49c7,106941813,110,75,False,106941813,106941813,106941813,0.0,1,False,0
60650d0fdf54262f1111f1f3,2021-04,57633d22958d3ffe18e00e1f,106639469,111,75,False,106639469,106639469,106639469,0.0,1,False,0
60650d0fdf54262f1111f21c,2021-04,592068899326098f41a5670d,103933999,112,75,False,103933999,103933999,103933999,0.0,1,False,0
60650d0fdf54262f1111f22d,2021-04,576978d04673b865097b5b59,103644660,113,75,False,103644660,103644660,103644660,0.0,1,False,0
60650d0fdf54262f1111f265,2021-04,5e3e7346c71c6f2ac76f7657,100868923,114,75,False,100868923,100868923,100868923,0.0,1,False,0
60650d13df54262f1112a26b,2021-04,57933c5e42d32822203f690f,100621583,115,75,False,100621583,100621583,100621583,0.0,1,False,0
60650d0fdf54262f1111f2fa,2021-04,5da6d94ad50dfaa38d2f93d1,97463656,116,75,False,97463656,97463656,97463656,0.0,1,False,0
60650d17df54262f111373c0,2021-04,5a59c830e6ea212df8ae626d,96900011,117,75,False,96900011,96900011,96900011,0.0,1,False,0
60650d1cdf54262f11145d3a,2021-04,5ca9fe96c2faea779f3309e7,96022100,118,75,False,96022100,96022100,96022100,0.0,1,False,0
60650d13df54262f1112a280,2021-04,5a3ce5381a344840ea047603,95921458,119,75,False,95921458,95921458,95921458,0.0,1,False,0
60650d0fdf54262f1111f280,2021-04,578f45823374ca4e1c842091,95365815,120,75,False,95365815,95365815,95365815,0.0,1,False,0
60650d0fdf54262f1111f16a,2021-04,57e26c86adafdf710cc1d9d5,95114692,121,75,False,95114692,95114692,95114692,0.0,1,False,0
60650d18df54262f11138df1,2021-04,591b7b439326098f41a0943c,94406140,122,75,False,94406140,94406140,94406140,0.0,1,False,0
60650d1cdf54262f11145de9,2021-04,5f5da9629ffefe4f2ffccbc1,94343394,123,75,False,94343394,94343394,94343394,0.0,1,False,0
60650d17df54262f111373b4,2021-04,5b2bf8520b45d1140241203d,92448873,124,75,False,92448873,92448873,92448873,0.0,1,False,0
60650d1cdf54262f1114610f,2021-04,58248e943c5a59532074166c,91778217,125,75,False,91778217,91778217,91778217,0.0,1,False,0
60650d1cdf54262f11145c9c,2021-04,5e2c3925be0a853e73edf1d9,90648855,126,75,False,90648855,90648855,90648855,0.0,1,False,0
60650d13df54262f1112a2ba,2021-04,5866db8ac04c074e4f1adf24,89383412,127,75,False,89383412,89383412,89383412,0.0,1,False,0
60650d17df54262f1113749b,2021-04,58e517b79f9ea1683159793c,89370575,128,75,False,89370575,89370575,89370575,0.0,1,False,0
60650d1cdf54262f11145ce6,2021-04,5fc74b1bb0eb423184b22c94,89329297,129,75,False,89329297,89329297,89329297,0.0,1,False,0
60650d1cdf54262f11145da1,2021-04,5dd007f94297b4694e0b7a68,89182377,130,75,False,89182377,89182377,89182377,0.0,1,False,0
60650d17df54262f1113747e,2021-04,5d4d8ab068d0d85eed186615,88325901,131,75,False,88325901,88325901,88325901,0.0,1,False,0
60650d13df54262f1112a23c,2021-04,5919b6739326098f419eaa20,86983225,132,75,False,86983225,86983225,86983225,0.0,1,False,0
60650d1cdf54262f11145e56,2021-04,5cf0ecba455da11dab68a4b1,86774525,133,75,False,86774525,86774525,86774525,0.0,1,False,0
60650d1cdf54262f11145cbf,2021-04,5ecaf80e44ee67dc8ba29a8a,86570203,134,75,False,86570203,86570203,86570203,0.0,1,False,0
60650d13df54262f1112a27f,2021-04,5acb2b1c1ff47d56215eb4dc,86403704,135,75,False,86403704,86403704,86403704,0.0,1,False,0
60650d13df54262f1112a256,2021-04,58cd70a49f9ea168313e82a0,84251310,136,75,False,84251310,84251310,84251310,0.0,1,False,0
60650d17df54262f111373bb,2021-04,5b2ca43f632a941b6a9967ea,83294399,137,75,False,83294399,83294399,83294399,0.0,1,False,0
60650d1edf54262f1114abb6,2021-04,5fc07f6f1cb8a6db5851844b,82648898,138,75,False,82648898,82648898,82648898,0.0,1,False,0
60650d0fdf54262f1111f524,2021-04,583a75fd5264786f08958325,82589399,139,75,False,82589399,82589399,82589399,0.0,1,False,0
60650d0fdf54262f1111f1b2,2021-04,576b8f8aa5b6db107d48fdbd,82148171,140,75,False,82148171,82148171,82148171,0.0,1,False,0
60650d1cdf54262f111467e6,2021-04,5fc46c685a6fa606c26461a7,81131285,141,75,False,81131285,81131285,81131285,0.0,1,False,0
60650d1cdf54262f11146176,2021-04,600444b2bb4fcba2ff318577,81095199,142,75,False,81095199,81095199,81095199,0.0,1,False,0
60650d1cdf54262f11145cbd,2021-04,5dd8dfaad67b8370abfd68aa,81014945,143,75,False,81014945,81014945,81014945,0.0,1,False,0
60650d0fdf54262f1111f193,2021-04,5dae29adf0ecd0425a081245,79180783,144,75,False,79180783,79180783,79180783,0.0,1,False,0
60650d0fdf54262f1111f256,2021-04,592df6d9f6040241774998b4,79041496,145,75,False,79041496,79041496,79041496,0.0,1,False,0
60650d0fdf54262f1111f1c4,2021-04,58c25410ddc5f279024ef0de,78797648,146,75,False,78797648,78797648,78797648,0.0,1,False,0
60650d18df54262f111384b8,2021-04,5c988bdadc3fd03a38840f16,77439569,147,75,False,77439569,77439569,77439569,0.0,1,False,0
60650d0fdf54262f1111f2f4,2021-04,5ba4aa669fc1f31f7c8f0809,76669157,148,75,False,76669157,76669157,76669157,0.0,1,False,0
60650d13df54262f1112a221,2021-04,5a50b0ee5691ac431886e8d6,76438658,149,75,False,76438658,76438658,76438658,0.0,1,False,0
60650d0fdf54262f1111f1cc,2021-04,58385482465957f661f23be7,75661266,150,75,False,75661266,75661266,75661266,0.0,1,False,0
60650d0fdf54262f1111f315,2021-04,58cf64999f9ea1683140afe6,74898697,151,75,False,74898697,74898697,74898697,0.0,1,False,0
60650d17df54262f111373f8,2021-04,582ca0721351e5743bf022e8,74254869,152,75,False,74254869,74254869,74254869,0.0,1,False,0
60650d17df54262f111373be,2021-04,5f57d335bf895ac655448144,73474511,153,75,False,73474511,73474511,73474511,0.0,1,False,0
60650d1cdf54262f11145e48,2021-04,5f7acfe690ee6bc2dea608b5,73348779,154,75,False,73348779,73348779,73348779,0.0,1,False,0
60650d13df54262f1112a2f3,2021-04,583866785264786f0892819e,72788450,155,75,False,72788450,72788450,72788450,0.0,1,False,0
60650d17df54262f111373f2,2021-04,5ae294e7887037563ae64098,72435655,156,75,False,72435655,72435655,72435655,0.0,1,False,0
60650d0fdf54262f111216a7,2021-04,5da4f7f77e87d65e66b5dcc8,71707178,157,75,False,71707178,71707178,71707178,0.0,1,False,0
60650d1cdf54262f11145eea,2021-04,5e6d6d175ff0a26fe2edb1a7,71515745,158,75,False,71515745,71515745,71515745,0.0,1,False,0
60650d1cdf54262f11145d5a,2021-04,55cb68220d1e8ac27de98fe6,71224878,159,75,False,71224878,71224878,71224878,0.0,1,False,0
60650d17df54262f111373ca,2021-04,57b35306c280d955479138c5,71138530,160,75,False,71138530,71138530,71138530,0.0,1,False,0
60650d17df54262f1113743a,2021-04,595d14d08d05b87f33a7e33a,70072404,161,75,False,70072404,70072404,70072404,0.0,1,False,0
60650d1cdf54262f11145d33,2021-04,5f17feb7373d81277b5f3208,69357464,162,75,False,69357464,69357464,69357464,0.0,1,False,0
60650e7edf54262f115b51c9,2021-04,5f7b19ca0a16d503d6781bbb,65968874,163,75,False,65968874,65968874,65968874,0.0,1,False,0
60650d0fdf54262f1111f194,2021-04,5788ac443fd9069e6b54c8df,65719475,164,75,False,65719475,65719475,65719475,0.0,1,False,0
60650d0fdf54262f1111f239,2021-04,5af806515701510ff8515904,65312668,165,75,False,65312668,65312668,65312668,0.0,1,False,0
60650d0fdf54262f1111f1c6,2021-04,5b2c29bf964a7c1470106ccc,65259845,166,75,False,65259845,65259845,65259845,0.0,1,False,0
60650d1cdf54262f11145f2b,2021-04,5c2749900c47194eec5e3d60,64799757,167,75,False,64799757,64799757,64799757,0.0,1,False,0
60650d0fdf54262f1111f419,2021-04,5e0cb413be0a8522cbe8c7c3,64423558,168,75,False,64423558,64423558,64423558,0.0,1,False,0
60650d0fdf54262f1111f16c,2021-04,5776c806cbfed0401e97c343,64124226,169,75,False,64124226,64124226,64124226,0.0,1,False,0
60650d17df54262f111373fd,2021-04,582fb3cbe7bdc06d35f31745,63956161,170,75,False,63956161,63956161,63956161,0.0,1,False,0
60650d1cdf54262f11145ca4,2021-04,582d76271351e5743bf12456,63767404,171,75,False,63767404,63767404,63767404,0.0,1,False,0
60650d1cdf54262f11145cd8,2021-04,5adcb3ed95df1944cc90e364,63366240,172,75,False,63366240,63366240,63366240,0.0,1,False,0
